"Id_Stu_or";"Id_Stu_new"
697;1
698;2
699;3
700;4
701;5
702;6
703;7
704;8
705;9
706;10
707;11
708;12
709;13
735;14
736;15
737;16
739;17
740;18
741;19
742;20
743;21
744;22
745;23
746;24
747;25
1000;26
1001;27
1002;28
1004;29
1005;30
1006;31
1008;32
1011;33
1013;34
1014;35
1015;36
1016;37
1018;38
1019;39
1020;40
1021;41
1023;42
1024;43
1025;44
1026;45
1027;46
1028;47
1029;48
1030;49
1031;50
1032;51
1033;52
1034;53
1282;54
1283;55
1284;56
1285;57
1286;58
1287;59
1619;60
1620;61
1621;62
1622;63
1623;64
1624;65
1625;66
1626;67
1627;68
1628;69
1629;70
1630;71
1631;72
1632;73
1633;74
1634;75
1635;76
1636;77
1637;78
1638;79
1691;80
1692;81
1693;82
1694;83
1695;84
1696;85
1697;86
1698;87
1699;88
1700;89
1701;90
1702;91
1703;92
1704;93
1705;94
1706;95
1707;96
1708;97
1709;98
1710;99
1711;100
1712;101
1713;102
1714;103
1727;104
1728;105
1729;106
1730;107
1731;108
1732;109
1733;110
1734;111
1735;112
1736;113
1737;114
1738;115
1739;116
1740;117
1741;118
1742;119
1743;120
1745;121
1748;122
1750;123
1753;124
1754;125
1804;126
1805;127
1806;128
1807;129
1808;130
1809;131
1811;132
1812;133
2338;134
2339;135
2340;136
2341;137
2343;138
2344;139
2345;140
2346;141
2347;142
2348;143
2349;144
2633;145
2634;146
2635;147
2636;148
2637;149
2638;150
2639;151
2640;152
2641;153
2642;154
2643;155
2644;156
2645;157
2646;158
2647;159
2648;160
2649;161
2650;162
2651;163
2652;164
2653;165
2654;166
2655;167
2656;168
2657;169
2658;170
2659;171
2712;172
2713;173
2714;174
2715;175
2716;176
2717;177
2718;178
2719;179
2720;180
2722;181
2723;182
2724;183
2725;184
2726;185
2727;186
2728;187
2729;188
2730;189
2731;190
2732;191
2733;192
2734;193
2735;194
2736;195
2737;196
2738;197
2739;198
3193;199
3194;200
3195;201
3196;202
3197;203
3198;204
3199;205
3201;206
3202;207
3203;208
3204;209
3205;210
3206;211
3207;212
3208;213
3209;214
3210;215
3211;216
3212;217
3213;218
3215;219
3216;220
3217;221
3218;222
3219;223
3220;224
3221;225
3223;226
3224;227
3225;228
3226;229
3227;230
3229;231
3230;232
3231;233
3232;234
3287;235
3288;236
3289;237
3290;238
3292;239
3293;240
3294;241
3295;242
3296;243
3297;244
3298;245
3299;246
3300;247
3302;248
3303;249
3304;250
3305;251
3306;252
3307;253
3308;254
3309;255
3310;256
3312;257
3313;258
3315;259
3316;260
3317;261
3321;262
3322;263
3323;264
3324;265
3325;266
3326;267
3327;268
3328;269
3330;270
3334;271
3335;272
3336;273
3337;274
3338;275
3339;276
3340;277
3341;278
3342;279
3343;280
3344;281
3345;282
3346;283
3347;284
3348;285
3349;286
3350;287
3351;288
3352;289
3353;290
3354;291
3355;292
3356;293
3357;294
3358;295
3359;296
3360;297
3361;298
3362;299
3363;300
3364;301
3367;302
3368;303
3369;304
3370;305
3371;306
3372;307
3373;308
3541;309
3542;310
3543;311
3544;312
3545;313
3546;314
3547;315
3548;316
3549;317
3551;318
3552;319
3553;320
3554;321
3555;322
3556;323
3557;324
3558;325
3559;326
3560;327
3562;328
3563;329
3564;330
3565;331
3566;332
3567;333
3568;334
3569;335
3570;336
3571;337
3572;338
3573;339
3574;340
3575;341
3576;342
3577;343
3578;344
3579;345
3580;346
3581;347
3582;348
3583;349
3584;350
3585;351
3586;352
3587;353
3588;354
3589;355
3590;356
3591;357
3592;358
3593;359
3594;360
3595;361
3596;362
3597;363
3598;364
3599;365
3600;366
3601;367
3602;368
3603;369
3604;370
3605;371
3606;372
3607;373
3609;374
3610;375
3611;376
3612;377
3613;378
3614;379
3615;380
3617;381
3618;382
3619;383
3620;384
3621;385
3622;386
3623;387
4908;388
4909;389
4910;390
4911;391
4912;392
4913;393
5101;394
5103;395
5104;396
5105;397
5111;398
5112;399
5113;400
5114;401
5115;402
5116;403
5120;404
5121;405
5122;406
5123;407
5124;408
5125;409
5127;410
5129;411
5130;412
5131;413
5156;414
5157;415
5158;416
5160;417
5161;418
5162;419
5163;420
5164;421
5165;422
5167;423
5168;424
5169;425
5170;426
5171;427
5172;428
5173;429
5174;430
5175;431
5176;432
5177;433
5178;434
5179;435
5180;436
5181;437
5182;438
5183;439
5184;440
5185;441
5186;442
5187;443
5223;444
5224;445
5225;446
5226;447
5227;448
5228;449
5229;450
5231;451
5232;452
5233;453
5249;454
5250;455
5251;456
5252;457
5253;458
5254;459
5255;460
5256;461
5257;462
5258;463
5259;464
5260;465
5263;466
5264;467
5270;468
5271;469
5272;470
5273;471
5274;472
5314;473
5315;474
5316;475
5317;476
5318;477
5319;478
5320;479
5321;480
5322;481
5323;482
5324;483
5325;484
5326;485
5327;486
5328;487
5329;488
5330;489
5331;490
5445;491
5446;492
5448;493
5449;494
5450;495
5451;496
5452;497
6812;498
6817;499
6818;500
6819;501
6820;502
6821;503
6822;504
6880;505
6881;506
6883;507
6884;508
6885;509
6886;510
6887;511
6888;512
6889;513
6890;514
6891;515
6892;516
6893;517
6898;518
6899;519
6900;520
6901;521
6902;522
6903;523
6904;524
6905;525
6906;526
6907;527
6908;528
6909;529
6910;530
6911;531
6912;532
6913;533
6914;534
6915;535
6916;536
6917;537
7000;538
7002;539
7003;540
7004;541
7005;542
7006;543
7007;544
7008;545
7010;546
7011;547
7012;548
7013;549
7014;550
7015;551
7016;552
7017;553
7018;554
7019;555
7020;556
7021;557
7022;558
7023;559
7024;560
7025;561
7026;562
7027;563
7028;564
7029;565
7030;566
7031;567
7059;568
7060;569
7062;570
7063;571
7064;572
7065;573
7066;574
7067;575
7074;576
7075;577
7076;578
7077;579
7084;580
7085;581
7087;582
7088;583
7089;584
7090;585
7091;586
7092;587
7093;588
7094;589
7095;590
7096;591
7097;592
7099;593
7100;594
7101;595
7102;596
7103;597
7104;598
7105;599
7106;600
7108;601
7109;602
7110;603
7111;604
7112;605
7113;606
7114;607
7341;608
7343;609
7344;610
7345;611
7347;612
7348;613
7349;614
7350;615
7351;616
7352;617
7353;618
7358;619
7359;620
7360;621
7361;622
7362;623
7363;624
7364;625
7365;626
7366;627
7367;628
7368;629
7369;630
7370;631
7371;632
7372;633
7373;634
7374;635
7375;636
7376;637
7377;638
7378;639
7379;640
7385;641
7386;642
7387;643
7388;644
7389;645
7390;646
7391;647
7449;648
7450;649
7452;650
7453;651
7454;652
7455;653
7456;654
7457;655
7459;656
7460;657
7461;658
7462;659
7463;660
7564;661
7565;662
7566;663
7567;664
7568;665
7569;666
7570;667
7575;668
7576;669
7577;670
7578;671
7579;672
7580;673
7581;674
7586;675
7587;676
7588;677
7589;678
7590;679
7591;680
7592;681
7593;682
7594;683
7737;684
7738;685
7739;686
7740;687
7741;688
7742;689
7743;690
7744;691
7745;692
7746;693
7748;694
7749;695
7750;696
7751;697
7752;698
7753;699
7754;700
7799;701
7801;702
7802;703
7803;704
7804;705
7805;706
7806;707
7807;708
7808;709
7809;710
7810;711
7930;712
7931;713
7932;714
7933;715
7934;716
7935;717
7936;718
7937;719
7938;720
7939;721
7940;722
7986;723
7987;724
7988;725
7989;726
7990;727
7991;728
7992;729
7993;730
7994;731
7995;732
7996;733
7997;734
7998;735
7999;736
8000;737
8001;738
8002;739
8004;740
8005;741
8006;742
8008;743
8009;744
8084;745
8085;746
8086;747
8087;748
8089;749
8090;750
8091;751
8092;752
8093;753
