"key_Student";"Student";"Professor";"Subject";"SelfPerf";"C_12";"C_13";"C_14";"C_15";"C_16";"C_17";"C_18";"C_19";"C_20";"C_21";"C_22";"C_23";"C_24";"C_25";"C_26";"C_27";"C_28";"C_29";"C_30";"C_31";"C_32";"C_33";"C_34";"C_35";"C_36_Strength";"c37_Weaknesses";"student_sex";"Id_Fingerprint";"Id_Carrer";"Number_Enrollment";"Number_Repetition";"Number_Lost";"Id_Course";"Group";"Shared";"professor_sex";"Vinculacion";"Fecha_Ingreso";"professor_cat";"professor_dedic";"Professor_Dept"
739;17;15;11;4;4;4;4;3;4;4;3;4;4;4;2;3;3;4;4;4;4;3;3;3;2;1;4;4;"ES AMABLE CON LOS ESTUDIANTES Y SE HACE ENTENDER EN LA MAYORIA DE LOS CASOS";"UN SALON MEJOR ADAPTADO PARA EL VIDEO BEAM";1;1115;5;7;1;0;65;1;0;0;"PLANTA";"21/1/2005 0:00:00";"ASOCIADO";"EXCLUSIVA";"BIOLOGIA"
740;18;15;11;4;4;3;4;4;4;4;4;3;4;3;3;4;4;3;4;4;4;3;3;3;2;1;4;4;"ES UNA DOCENTE MUY COMPROMETIDA, RESPETUOS Y CON DOMINIO DEL TEMA";"";1;1124;5;8;1;0;65;1;0;0;"PLANTA";"21/1/2005 0:00:00";"ASOCIADO";"EXCLUSIVA";"BIOLOGIA"
741;19;15;11;4;4;4;4;4;4;4;3;4;4;4;1;4;3;4;4;4;4;3;3;4;2;2;4;3;"";"";1;1124;5;8;1;0;65;1;0;0;"PLANTA";"21/1/2005 0:00:00";"ASOCIADO";"EXCLUSIVA";"BIOLOGIA"
742;20;15;11;3;4;4;4;3;4;4;2;4;2;2;1;3;3;4;3;3;4;4;4;4;2;2;3;3;"MUCHO CONOCIMIENTO DEL TEMA";"DEBERIA INDUCIR MAS LA PARTICIPACION EN CLASE";1;1128;5;9;1;0;65;1;0;0;"PLANTA";"21/1/2005 0:00:00";"ASOCIADO";"EXCLUSIVA";"BIOLOGIA"
743;21;15;11;4;4;4;4;2;4;4;3;3;4;3;3;3;3;4;4;4;3;2;1;2;2;2;4;3;"";"";1;1129;5;9;1;0;65;1;0;0;"PLANTA";"21/1/2005 0:00:00";"ASOCIADO";"EXCLUSIVA";"BIOLOGIA"
744;22;15;11;4;4;4;4;4;4;4;3;2;4;4;3;4;2;3;3;3;4;2;1;4;2;2;4;4;"ES ENTUSIASTA Y MUY CONOCEDOR DEL TEMA";"NO ES CLARO CON LOS REQUISITOS DE LOS PARCIALES, A VECES SE PIENSA QUE DEBE HACERSE MAS, PERO EN REALIDAD NO ES TAN PROFUNDO";1;1129;5;9;1;0;65;1;0;0;"PLANTA";"21/1/2005 0:00:00";"ASOCIADO";"EXCLUSIVA";"BIOLOGIA"
745;23;15;11;4;4;4;4;4;3;3;3;2;3;2;2;2;3;3;2;2;3;2;2;3;2;2;3;3;"";"";1;1135;5;10;1;0;65;1;0;0;"PLANTA";"21/1/2005 0:00:00";"ASOCIADO";"EXCLUSIVA";"BIOLOGIA"
746;24;15;11;4;3;3;4;4;4;4;4;4;4;3;1;4;3;4;4;3;3;3;3;3;2;1;4;4;"";"";1;1139;5;11;1;0;65;1;0;0;"PLANTA";"21/1/2005 0:00:00";"ASOCIADO";"EXCLUSIVA";"BIOLOGIA"
747;25;15;11;4;3;4;4;4;4;4;4;3;4;3;3;4;4;4;4;4;4;3;3;3;2;1;4;4;"UN DOMINIO DE LOS TEMAS TRATADOS MUY BUENO";"LA ASIGNATURA DEBERIA TENER EL HORARIO Y DEBERIA SER DICTADA EN LA MAÑANA";1;1145;5;12;1;0;65;1;0;0;"PLANTA";"21/1/2005 0:00:00";"ASOCIADO";"EXCLUSIVA";"BIOLOGIA"
1000;26;70;12;4;3;3;3;4;4;4;4;3;4;3;3;2;2;4;3;1;4;3;3;4;2;1;3;3;"LOS CONTENIDOS DE LA ASIGNATURA SON MUY INTERESANTES Y EL PROFESOR TIENE UN AMPLIO MANEJO DEL TEMA";"LA ASIGNATURA ES OFERTAS PARA TODO LOS PROGRAMAS SE DIFICULTA PARA AQUELLOS ESTUDIANTES QUE NO HAN VISTO NADA DE BIOLOGIA DE INSECTOS";0;39;5;2;1;0;70;1;0;1;"PLANTA";"25/2/1993 0:00:00";"ASOCIADO";"EXCLUSIVA";"BIOLOGIA"
1001;27;70;12;3;4;3;3;4;4;4;3;3;3;3;4;4;3;4;4;4;4;3;3;3;2;1;3;3;"EL PROFESOR MUESTRA INTERES, POR EL APRENDIZAJE DE LOS ESTUDIANTES, SIEMPRE ESTA DISPONIBLE Y DISPUESTO A RESOLVER DUDAS";"";0;57;5;5;1;0;70;1;0;1;"PLANTA";"25/2/1993 0:00:00";"ASOCIADO";"EXCLUSIVA";"BIOLOGIA"
