"Student";"SelfPerf";"stud_diff_prof_no_perf";"stud_diff_prof_perf";"Professor";"prof_no_perf";"prof_perf";"harmonic_mean";"Subject";"sub_no_perf";"sub_perf";"stud_diff_subj_no_perf";"stud_diff_subj_perf";"C_12";"C_13";"C_14";"C_15";"C_16";"C_17";"C_18";"C_19";"C_20";"C_21";"C_22";"C_23";"C_24";"C_25";"C_26";"C_27";"C_28";"C_29";"C_30";"C_31";"C_32";"C_33";"C_34";"C_35";"C_36_Strength";"c37_Weaknesses";"student_sex";"Id_Fingerprint";"Id_Carrer";"Number_Enrollment";"Number_Repetition";"Number_Lost";"Id_Course";"Group";"Shared";"professor_sex";"Vinculacion";"Fecha_Ingreso";"professor_cat";"professor_dedic";"Professor_Dept"
242;3;0,98;0,58;102;-0,36;-0,31;"3,079";111;0,01;0,13;0,84;0,21;4;4;4;3;3;3;3;4;3;3;1;1;4;3;1;2;2;3;3;3;2;1;4;3;;;0;812;65;2;1;0;589;1;0;1;"PLANTA";"23/4/1979 0:00:00";"TITULAR";"EXCLUSIVA";"ESTADISTICA"
243;4;-0,14;-0,09;102;-0,36;-0,31;"3,079";111;0,01;0,13;-0,72;-0,65;3;4;4;4;4;4;4;4;4;4;1;3;4;3;1;2;4;4;3;3;2;1;4;3;"SU DEDICACION, SE NOTA EN UNA CLASE PREPARADA CON CONTENIDO TEORICO-PRACTICO PERTINENTE.";"INCLUIR PROGRAMACION A ALGUNAS TEMATICAS.";0;813;65;2;1;0;589;1;0;1;"PLANTA";"23/4/1979 0:00:00";"TITULAR";"EXCLUSIVA";"ESTADISTICA"
244;4;-0,26;-0,22;102;-0,36;-0,31;"3,079";111;0,01;0,13;0,81;0,86;4;4;4;4;4;4;3;3;4;3;3;3;4;3;3;2;3;3;2;3;2;1;4;3;;;0;813;65;2;1;0;589;1;0;1;"PLANTA";"23/4/1979 0:00:00";"TITULAR";"EXCLUSIVA";"ESTADISTICA"
245;4;-0,59;-0,55;102;-0,36;-0,31;"3,079";111;0,01;0,13;0,83;0,90;3;4;4;4;4;4;4;4;3;3;2;3;4;4;1;3;4;4;2;3;2;2;4;3;"LA FACILIDAD PARA TRANSMITIR LOS CONCEPTOS. EVALUA SIEMPRE LO QUE ENSEÑA.";"MUCHAS DE LAS SILLAS DEL SALON ESTAN DAÑADAS";0;815;65;3;1;0;589;1;0;1;"PLANTA";"23/4/1979 0:00:00";"TITULAR";"EXCLUSIVA";"ESTADISTICA"
246;5;-0,14;0,53;102;-0,36;-0,31;"3,079";111;0,01;0,13;1,48;2,64;3;4;4;4;4;4;4;3;3;3;3;3;4;3;1;2;3;3;3;4;2;2;4;3;"SU FORMA DE PRESENTAR LOS TEMAS Y EL AMPLIO DOMINIO QUE TIENE HACE QUE SU CLASE CON TABLERO SEA SUFICIENTE Y NO REQUIERA AYUDAS TECNOLOGICAS.";"HAY QUE ARREGLAR MUCHAS DE LAS SILLAS DEL SALON.";0;816;65;3;1;0;589;1;0;1;"PLANTA";"23/4/1979 0:00:00";"TITULAR";"EXCLUSIVA";"ESTADISTICA"
247;3;0,30;-0,05;102;-0,36;-0,31;"3,079";111;0,01;0,13;-1,93;-2,23;3;4;4;4;4;4;4;4;4;4;1;1;4;3;1;2;3;3;3;2;2;2;4;4;"EXCELENTE PROFESOR";;0;814;65;3;1;1;589;1;0;1;"PLANTA";"23/4/1979 0:00:00";"TITULAR";"EXCLUSIVA";"ESTADISTICA"
248;2;2,05;1,00;102;-0,36;-0,31;"3,079";111;0,01;0,13;3,12;1,41;3;4;4;2;2;3;3;3;2;2;1;1;3;3;1;1;1;3;3;2;2;1;2;2;;;1;2343;65;1;1;0;589;1;0;1;"PLANTA";"23/4/1979 0:00:00";"TITULAR";"EXCLUSIVA";"ESTADISTICA"
249;3;0,93;0,56;102;-0,36;-0,31;"3,079";111;0,01;0,13;-0,74;-1,23;3;4;4;4;4;4;4;4;4;4;1;1;4;2;1;1;1;3;3;2;2;2;3;3;;;1;2344;65;1;1;0;589;1;0;1;"PLANTA";"23/4/1979 0:00:00";"TITULAR";"EXCLUSIVA";"ESTADISTICA"
250;3;1,05;0,65;102;-0,36;-0,31;"3,079";111;0,01;0,13;1,47;0,79;4;4;4;3;3;3;3;3;3;3;2;2;4;3;1;1;1;3;3;3;2;1;3;3;"CLARIDAD, APLICACIÓN DE EJEMPLOS PRACTICOS.";;1;2344;65;1;1;0;589;1;0;1;"PLANTA";"23/4/1979 0:00:00";"TITULAR";"EXCLUSIVA";"ESTADISTICA"
251;4;1,41;1,42;102;-0,36;-0,31;"3,079";111;0,01;0,13;2,00;2,02;3;3;4;3;3;4;4;3;3;2;1;1;3;3;1;1;2;3;3;2;2;1;3;3;"ES MUY DETALLISTA EN CUANTO A LA TEORIA";"LA FALTA DE EJEMPLOS PRACTICOS COMPUTACIONALMENTE.";1;2345;65;1;1;0;589;1;0;1;"PLANTA";"23/4/1979 0:00:00";"TITULAR";"EXCLUSIVA";"ESTADISTICA"
252;4;0,49;0,52;102;-0,36;-0,31;"3,079";111;0,01;0,13;0,15;0,20;3;4;4;4;4;4;3;3;4;4;1;1;3;4;1;2;4;3;3;3;2;2;3;3;;;1;2345;65;1;1;0;589;1;0;1;"PLANTA";"23/4/1979 0:00:00";"TITULAR";"EXCLUSIVA";"ESTADISTICA"
253;3;-0,79;-1,13;102;-0,36;-0,31;"3,079";111;0,01;0,13;-1,93;-2,21;4;4;4;4;4;4;4;4;4;4;1;2;4;;1;4;4;4;3;3;2;1;4;4;"DOMINIO Y SUFICIENCIA PARA EXPLICAR BIEN EL TEMA";;1;2347;65;2;1;0;589;1;0;1;"PLANTA";"23/4/1979 0:00:00";"TITULAR";"EXCLUSIVA";"ESTADISTICA"
254;4;0,82;0,83;102;-0,36;-0,31;"3,079";111;0,01;0,13;0,15;0,22;3;3;4;3;2;4;4;3;4;4;2;2;4;3;1;3;3;3;3;3;2;2;3;3;"APLICABILIDAD.";;1;2348;65;2;1;0;589;1;0;1;"PLANTA";"23/4/1979 0:00:00";"TITULAR";"EXCLUSIVA";"ESTADISTICA"
255;4;-0,29;-0,26;102;-0,36;-0,31;"3,079";111;0,01;0,13;-0,73;-0,64;3;4;4;4;4;4;3;3;4;4;3;3;4;4;2;3;4;3;4;3;2;1;3;4;"PEDAGOGIA";;1;2348;65;2;1;0;589;1;0;1;"PLANTA";"23/4/1979 0:00:00";"TITULAR";"EXCLUSIVA";"ESTADISTICA"
256;4;-0,57;-0,56;102;-0,36;-0,31;"3,079";111;0,01;0,13;-1,95;-1,73;3;4;4;4;4;4;4;4;4;4;1;4;4;4;1;2;4;4;4;4;2;1;4;4;"CONOCIMIENTO PLENO DE LOS TEMAS";;1;2348;65;2;1;0;589;1;0;1;"PLANTA";"23/4/1979 0:00:00";"TITULAR";"EXCLUSIVA";"ESTADISTICA"
257;4;0,59;0,60;102;-0,36;-0,31;"3,079";111;0,01;0,13;0,60;0,65;3;4;4;4;4;4;3;4;4;2;1;1;4;2;2;2;4;4;3;3;2;2;3;3;"BUENA PREPARACION";"MAS APLICACIÓN";1;2351;65;3;1;0;589;1;0;1;"PLANTA";"23/4/1979 0:00:00";"TITULAR";"EXCLUSIVA";"ESTADISTICA"
258;4;-0,86;-0,83;102;-0,36;-0,31;"3,079";111;0,01;0,13;-1,91;-1,75;4;4;4;4;4;4;4;4;4;4;3;2;4;4;2;3;4;3;3;3;2;1;4;4;;;1;2355;65;4;1;0;589;1;0;1;"PLANTA";"23/4/1979 0:00:00";"TITULAR";"EXCLUSIVA";"ESTADISTICA"
259;4;0,79;0,80;102;-0,36;-0,31;"3,079";111;0,01;0,13;0,85;0,89;3;3;3;3;4;4;3;4;3;3;2;2;3;4;2;3;3;3;3;2;2;1;3;3;"QUE TRATA TEMAS CONCRETOS";"DE LA ASIGNATURA, ALGO MAS DE CONTENIDOS PRACTICOS";1;2360;65;10;1;0;589;1;0;1;"PLANTA";"23/4/1979 0:00:00";"TITULAR";"EXCLUSIVA";"ESTADISTICA"
260;5;-0,40;0,24;102;-0,36;-0,31;"3,079";111;0,01;0,13;-1,92;-1,01;4;4;4;4;4;4;4;4;4;4;1;3;4;4;2;2;3;3;3;3;2;2;4;4;;;1;2361;65;11;1;0;589;1;0;1;"PLANTA";"23/4/1979 0:00:00";"TITULAR";"EXCLUSIVA";"ESTADISTICA"
261;5;-0,39;0,28;102;-0,36;-0,31;"3,079";111;0,01;0,13;-0,71;0,31;3;4;4;4;4;4;4;4;3;4;2;3;3;3;2;4;4;3;2;2;2;2;4;4;"concreto con los temas, buenos talleres";;1;2362;65;13;1;0;589;1;0;1;"PLANTA";"23/4/1979 0:00:00";"TITULAR";"EXCLUSIVA";"ESTADISTICA"
262;3;0,38;-0,10;100;0,01;-0,09;"3,222";112;0,81;0,61;-0,19;-0,92;2;3;4;3;4;4;4;4;4;4;1;4;4;4;2;3;4;3;2;1;2;1;3;3;"Ninguna";"Ninguna";0;809;65;1;1;0;590;1;0;1;"PLANTA";"16/2/2009 0:00:00";"ASISTENTE";"EXCLUSIVA";"ESTADISTICA"
263;5;0,03;0,56;100;0,01;-0,09;"3,222";112;0,81;0,61;-0,19;0,57;3;4;4;4;4;4;4;3;4;4;3;3;4;4;2;3;3;3;3;2;2;1;3;4;"Faculidad de dar a conocer los temas vistos en clase. Interaccion con empresa";"Puntualidad al inicio de las clases";0;811;65;1;1;0;590;1;0;1;"PLANTA";"16/2/2009 0:00:00";"ASISTENTE";"EXCLUSIVA";"ESTADISTICA"
264;5;-1,24;-0,73;100;0,01;-0,09;"3,222";112;0,81;0,61;-1,54;-0,82;3;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;2;2;2;2;4;4;"Es excelente profesor de los mejores que he tenido";"Ninguna";0;816;65;3;1;0;590;1;0;1;"PLANTA";"16/2/2009 0:00:00";"ASISTENTE";"EXCLUSIVA";"ESTADISTICA"
265;4;1,95;1,81;100;0,01;-0,09;"3,222";112;0,81;0,61;1,82;1,60;3;3;3;3;4;2;4;2;4;3;1;1;4;3;1;1;2;3;3;4;2;1;3;3;"Conocimiento de la materia y facilidad de entendimiento";;1;1336;26;9;1;0;590;1;0;1;"PLANTA";"16/2/2009 0:00:00";"ASISTENTE";"EXCLUSIVA";"ESTADISTICA"
266;4;0,71;0,58;100;0,01;-0,09;"3,222";112;0,81;0,61;1,04;0,82;3;3;4;4;4;4;3;2;4;3;2;3;4;3;2;2;2;3;3;3;2;1;4;4;"DOMINIO Y FORTALEA EN EL TEMA, CONOCIMIENTO Y EXCELENTE PROFESOR EN LA TEORIA Y PRACTICA";"NINGUNA";1;1343;26;10;1;0;590;1;0;1;"PLANTA";"16/2/2009 0:00:00";"ASISTENTE";"EXCLUSIVA";"ESTADISTICA"
267;5;0,99;1,52;100;0,01;-0,09;"3,222";112;0,81;0,61;-0,20;0,57;4;4;4;4;3;3;4;4;4;4;2;3;4;2;1;1;1;3;3;2;2;2;3;3;"Es muy ordenado, claro a la hora de explicar, paciente y asta interesado por el aprendizaje del estudiante";"Es muy serio";1;1344;26;10;1;0;590;1;0;1;"PLANTA";"16/2/2009 0:00:00";"ASISTENTE";"EXCLUSIVA";"ESTADISTICA"
268;4;1,60;1,46;100;0,01;-0,09;"3,222";112;0,81;0,61;-0,19;-0,32;3;3;4;3;3;3;3;4;4;4;2;2;3;3;2;2;2;3;3;2;2;2;3;3;"Aplicabilidad. Pedagogía";;1;1348;26;11;1;0;590;1;0;1;"PLANTA";"16/2/2009 0:00:00";"ASISTENTE";"EXCLUSIVA";"ESTADISTICA"
269;4;-0,31;-0,41;100;0,01;-0,09;"3,222";112;0,81;0,61;-0,22;-0,32;4;4;4;4;4;4;4;3;4;4;2;3;4;3;2;3;4;3;2;2;2;2;4;4;"Se preocupa porque los estudiantes aprendan, tiene excelente conocimiento del tema buena pedagogía";"-";1;1352;26;12;1;0;590;1;0;1;"PLANTA";"16/2/2009 0:00:00";"ASISTENTE";"EXCLUSIVA";"ESTADISTICA"
270;4;-0,32;-0,39;100;0,01;-0,09;"3,222";112;0,81;0,61;-0,19;-0,31;3;4;4;4;4;4;4;3;4;4;4;4;4;4;1;1;1;3;3;3;2;2;4;4;"Super ordenado en el tablero. Super ordenado con sus exposiciones. Buena persona y buen o mas bien excelente profesor";"Faltó a algunas sesiones";1;2296;57;2;1;0;590;1;0;1;"PLANTA";"16/2/2009 0:00:00";"ASISTENTE";"EXCLUSIVA";"ESTADISTICA"
271;4;-0,03;-0,13;100;0,01;-0,09;"3,222";112;0,81;0,61;2,11;1,87;3;4;4;4;3;4;4;3;3;3;1;2;4;4;1;4;4;3;3;1;2;2;4;3;;;1;2345;65;1;1;0;590;1;0;1;"PLANTA";"16/2/2009 0:00:00";"ASISTENTE";"EXCLUSIVA";"ESTADISTICA"
272;4;0,47;0,35;100;0,01;-0,09;"3,222";112;0,81;0,61;-1,52;-1,50;3;4;4;4;3;4;4;4;4;4;3;2;4;3;2;2;3;3;3;2;2;2;4;4;"La gran preparación de cada clase, el manejo experto de los temas, la claridad con la que imparte y el interés de que todos entendamos";"La asignatura podría tener una o dos clases de utilización de software estadístico para la aplicación de estrategias de muestreo";1;2345;65;1;1;0;590;1;0;1;"PLANTA";"16/2/2009 0:00:00";"ASISTENTE";"EXCLUSIVA";"ESTADISTICA"
273;4;-1,64;-1,70;100;0,01;-0,09;"3,222";112;0,81;0,61;-1,49;-1,48;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;4;4;3;2;3;2;2;4;4;;;1;2345;65;1;1;0;590;1;0;1;"PLANTA";"16/2/2009 0:00:00";"ASISTENTE";"EXCLUSIVA";"ESTADISTICA"
274;5;0,15;0,68;100;0,01;-0,09;"3,222";112;0,81;0,61;-1,52;-0,86;3;4;4;4;4;4;4;4;4;4;1;2;4;4;2;3;3;3;3;3;2;2;4;4;;;1;2346;65;1;1;0;590;1;0;1;"PLANTA";"16/2/2009 0:00:00";"ASISTENTE";"EXCLUSIVA";"ESTADISTICA"
275;4;-0,10;-0,21;100;0,01;-0,09;"3,222";112;0,81;0,61;-0,21;-0,32;3;3;4;4;4;4;3;4;4;4;4;4;4;3;3;4;3;2;1;1;2;2;4;3;"Capacidad de hacerle entender a sus estudiantes y disponibilidad para atenderlos";"Se desorganizó un poco en tiempo, y eso afecta la entrega de trabajos";1;2348;65;2;1;0;590;1;0;1;"PLANTA";"16/2/2009 0:00:00";"ASISTENTE";"EXCLUSIVA";"ESTADISTICA"
276;4;-0,81;-0,89;100;0,01;-0,09;"3,222";112;0,81;0,61;-0,21;-0,34;4;4;4;4;4;4;4;3;4;4;2;3;4;4;1;4;4;3;3;4;2;2;4;4;;;1;2351;65;3;1;0;590;1;0;1;"PLANTA";"16/2/2009 0:00:00";"ASISTENTE";"EXCLUSIVA";"ESTADISTICA"
277;4;1,62;1,61;11;-1,62;-1,57;"2,477";113;-0,54;-0,53;0,42;0,39;4;4;2;2;1;3;2;4;3;3;3;2;1;1;1;1;1;1;1;1;2;1;2;3;"DEJA BASTANTES TALLERES Y PERMITE DESARROLLAR EJERCICIOS DE LA TEORIA";"EL DOCENTE DEMUESTRA CONOCIMIENTO DE LA ASIGNATURA PERO NO TIENE FORMACION DE DOCENTE CON LOS CUAL NO SE TRANSMITE BIEN";0;810;65;1;1;0;591;1;0;1;"PLANTA";"1/8/2012 0:00:00";"ASOCIADO";"EXCLUSIVA";"ESTADISTICA"
278;4;-1,24;-1,20;11;-1,62;-1,57;"2,477";113;-0,54;-0,53;-1,09;-1,06;4;4;3;4;3;4;3;4;3;4;3;3;3;4;4;3;3;2;2;4;2;1;4;4;"ES UNA PERSONA CON MUCHO CONOCIMIENTO Y DISPOSICION A COMPARTIRLO";"SU MANEJO DEL IDIOMA ESPAÑOL";0;810;65;1;1;0;591;1;0;1;"PLANTA";"1/8/2012 0:00:00";"ASOCIADO";"EXCLUSIVA";"ESTADISTICA"
279;5;0,82;1,49;11;-1,62;-1,57;"2,477";113;-0,54;-0,53;1,55;2,64;4;4;2;3;1;3;3;3;3;2;2;2;1;3;1;1;1;2;2;4;2;1;3;3;"EL DOCENTE TIENE CONOCIMIENTO CLARO DE LOS TEMAS, TIENE DISPOSICION Y ES PUNTUAL";"EL DOCENTE ES DESORDENADO EN EL USO DEL TABLERO";0;811;65;1;1;0;591;1;0;1;"PLANTA";"1/8/2012 0:00:00";"ASOCIADO";"EXCLUSIVA";"ESTADISTICA"
280;5;-0,16;0,51;11;-1,62;-1,57;"2,477";113;-0,54;-0,53;-1,15;-0,13;4;4;3;3;2;4;4;4;4;3;1;3;2;4;2;1;3;2;1;3;2;1;3;4;"AMPLIO CONOCIMIENTO DE LA ASIGNATURA. PUNTUALIDAD, COMPROMISO Y DEDICACION PARA EL ENTENDIMIENTO DE TEMAS";"MEJORAR EL DOMINIO DEL ESPAÑOL. DAR UN POCO MAS DE EJEMPLOS EN CLASE";0;811;65;1;1;0;591;1;0;1;"PLANTA";"1/8/2012 0:00:00";"ASOCIADO";"EXCLUSIVA";"ESTADISTICA"
281;4;0,42;0,44;11;-1,62;-1,57;"2,477";113;-0,54;-0,53;0,37;0,35;4;3;2;4;3;4;3;3;4;3;1;2;2;3;1;1;2;2;2;3;2;1;3;3;"PUNTUALIDAD, BUEN DOMINIO";"DESORGANIZADO (CULPA DEL TABLERO PEQUEÑO)";1;1343;26;10;1;0;591;1;0;1;"PLANTA";"1/8/2012 0:00:00";"ASOCIADO";"EXCLUSIVA";"ESTADISTICA"
282;4;-0,35;-0,34;11;-1,62;-1,57;"2,477";113;-0,54;-0,53;-0,22;-0,22;4;4;2;3;3;3;4;4;3;4;1;1;3;3;4;3;4;2;3;4;2;2;3;3;;;1;1343;26;10;1;0;591;1;0;1;"PLANTA";"1/8/2012 0:00:00";"ASOCIADO";"EXCLUSIVA";"ESTADISTICA"
283;4;0,51;0,53;11;-1,62;-1,57;"2,477";113;-0,54;-0,53;-0,22;-0,23;4;4;3;4;2;4;3;4;3;4;1;1;2;3;1;1;1;3;3;4;2;2;3;3;"TIENE COMPROMISO CON LA MATERIA, LE INTERESA QUE LOS ESTUDIANTES APRENDAN, ES COMPRENSIVO CON LOS HORARIOS";"ES UN POCO DESORDENADO";1;1343;26;10;1;0;591;1;0;1;"PLANTA";"1/8/2012 0:00:00";"ASOCIADO";"EXCLUSIVA";"ESTADISTICA"
284;3;-0,39;-0,77;11;-1,62;-1,57;"2,477";113;-0,54;-0,53;0,41;-0,28;4;4;3;3;3;4;3;4;3;3;2;1;3;3;2;3;4;2;2;3;2;1;3;3;;;1;1347;26;11;1;0;591;1;0;1;"PLANTA";"1/8/2012 0:00:00";"ASOCIADO";"EXCLUSIVA";"ESTADISTICA"
285;4;1,71;1,70;11;-1,62;-1,57;"2,477";113;-0,54;-0,53;3,21;3,08;4;4;2;2;1;2;2;2;3;1;1;1;1;2;2;2;1;2;2;2;2;1;2;2;;;1;1348;26;11;1;0;591;1;0;1;"PLANTA";"1/8/2012 0:00:00";"ASOCIADO";"EXCLUSIVA";"ESTADISTICA"
286;2;1,75;0,69;11;-1,62;-1,57;"2,477";113;-0,54;-0,53;2,89;1,18;4;4;2;3;1;2;2;3;1;2;1;1;1;2;1;1;1;2;2;2;2;1;3;2;"SABE DEMASIADO";"TIENE DIFICULTADES PARA HABLAR ESPAÑOL";1;2343;65;1;1;0;591;1;0;1;"PLANTA";"1/8/2012 0:00:00";"ASOCIADO";"EXCLUSIVA";"ESTADISTICA"
287;4;-0,16;-0,13;11;-1,62;-1,57;"2,477";113;-0,54;-0,53;-2,23;-2,09;4;4;3;4;3;3;4;4;4;4;1;1;4;4;2;1;1;1;1;3;2;2;3;4;"SE DESTACA EL MANEJO DEL TEMA POR PARTE DEL DOCENTE";"EN OCASIONES EL LENGUAJE PUEDE LIMITAR LA COMUNICACIÓN ENTRE EL DOCENTE Y EL ESTUDIANTE";1;2345;65;1;1;0;591;1;0;1;"PLANTA";"1/8/2012 0:00:00";"ASOCIADO";"EXCLUSIVA";"ESTADISTICA"
288;4;-2,28;-2,22;11;-1,62;-1,57;"2,477";113;-0,54;-0,53;-2,24;-2,11;4;4;4;4;3;4;4;4;4;4;3;4;4;4;4;3;4;2;2;4;2;2;4;4;"PROFESOR QUE LE GUSTA ENSEÑAR Y QUE LOS ESTUDIANTES ENTIENDAN EL CONTENIDO DE LA ASIGNATURA";"A VECES EL LIMITANTE DEL ESPAÑOL NO PERMITE UN COMPLETO ENTENDIMIENTO DE LAS EXPLICACIONES PERO SIEMPRE SE TIENE DE PARTE DE EL LA PACIENCIA PARA EXPLICAR LOS TEMAS";1;2351;65;3;1;0;591;1;0;1;"PLANTA";"1/8/2012 0:00:00";"ASOCIADO";"EXCLUSIVA";"ESTADISTICA"
289;3;0,83;0,57;33;-0,69;-0,50;"2,887";115;-0,75;-0,47;1,30;0,77;3;2;3;4;3;4;3;4;2;2;1;1;4;4;1;1;4;3;3;4;2;1;3;3;"BUENAS TEORIAS QUE DEBE TENER UNA PERSONA QUE DESEE ANALIZAR DATOS";"ES UNA ASIGNATURA DIFICIL DE ENSEÑAR DEBIDO A LA COMPLEJIDAD  Y HETEROGENEIDAD DEL GRUPO.";0;787;57;2;1;0;593;1;0;0;"PLANTA";"10/7/2008 0:00:00";"ASISTENTE";"EXCLUSIVA";"ESTADISTICA"
290;4;0,66;0,81;33;-0,69;-0,50;"2,887";115;-0,75;-0,47;0,87;1,03;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;2;1;3;3;"APROPIO EL CONTENIDO TEMATICO DE ACUERDO A LOS REQUERIMIENTOS DEL CURSO";;0;788;57;3;1;0;593;1;0;0;"PLANTA";"10/7/2008 0:00:00";"ASISTENTE";"EXCLUSIVA";"ESTADISTICA"
291;4;-1,71;-1,55;33;-0,69;-0,50;"2,887";115;-0,75;-0,47;-2,38;-2,09;3;4;4;4;4;4;4;4;4;4;4;4;4;4;1;4;4;4;4;4;2;2;4;4;;;0;789;57;4;1;0;593;1;0;0;"PLANTA";"10/7/2008 0:00:00";"ASISTENTE";"EXCLUSIVA";"ESTADISTICA"
292;3;-1,17;-1,39;33;-0,69;-0,50;"2,887";115;-0,75;-0,47;-1,27;-1,65;3;3;4;4;4;4;4;4;4;4;4;4;4;4;3;4;4;4;4;4;2;1;3;3;"CLARIDAD EN LA EXPOSICION DE LOS TEMAS";"-";1;1327;26;8;1;0;593;1;0;0;"PLANTA";"10/7/2008 0:00:00";"ASISTENTE";"EXCLUSIVA";"ESTADISTICA"
293;4;2,16;2,29;33;-0,69;-0,50;"2,887";115;-0,75;-0,47;1,97;2,08;2;3;3;3;1;3;2;3;2;3;1;1;3;3;1;1;1;1;1;3;2;1;3;2;"COMPROMISO,BUEN TRATO,COMPETENCIA TECNICA PARA EL CURSO";"EL PLAN DE ESTUDIOS NO ES BUENO, SE DEBE TENER 2 CURSOS(1 DE PROBABILIDAD) (1 DE INFERENCIA) LA PROFE NO CALIFICA A TIEMPO LOS PARCIALES";1;2296;57;2;1;0;593;1;0;0;"PLANTA";"10/7/2008 0:00:00";"ASISTENTE";"EXCLUSIVA";"ESTADISTICA"
294;4;1,11;1,24;33;-0,69;-0,50;"2,887";115;-0,75;-0,47;0,09;0,26;2;4;3;3;3;3;3;4;4;3;3;2;3;3;1;1;4;3;3;4;2;2;2;2;;"INPUNTUAL  EN SU ASISTENCIA. INPUNTUAL EN LA ENTREGA DE TRABAJOS ASISTENCIA";1;2296;57;2;1;0;593;1;0;0;"PLANTA";"10/7/2008 0:00:00";"ASISTENTE";"EXCLUSIVA";"ESTADISTICA"
295;3;0,89;0,62;33;-0,69;-0,50;"2,887";115;-0,75;-0,47;2,36;1,77;3;3;4;4;1;4;3;3;2;1;1;1;4;3;1;1;3;3;3;4;2;1;4;3;"DOCENTE: CONOCIMIENTOS, EXCELENTE.";"ASIGNATURA: SE PROGRAMA MUCHO TEMA PARA UN SOLO CURSO, SE SUGIERE SEPARARLOS EN 2: Y PROBABILIDAD Y 2. INFERENCIA Y DISMINUIR UN CURSO ELEGIBLE DE LA MAESTRIA PARA COMPENSAR LOS CREDITOS";1;2299;57;4;3;0;593;1;0;0;"PLANTA";"10/7/2008 0:00:00";"ASISTENTE";"EXCLUSIVA";"ESTADISTICA"
296;3;-1,75;-1,93;33;-0,69;-0,50;"2,887";115;-0,75;-0,47;-0,45;-0,93;4;4;4;4;4;4;4;4;4;3;4;4;4;4;2;3;4;2;2;3;2;1;4;3;;;1;2318;61;2;1;0;593;1;0;0;"PLANTA";"10/7/2008 0:00:00";"ASISTENTE";"EXCLUSIVA";"ESTADISTICA"
297;4;0,35;0,39;47;1,07;1,16;"3,562";116;1,47;1,63;-1,21;-1,05;4;4;4;4;3;4;3;4;4;4;1;4;3;4;4;4;4;3;3;3;2;2;4;4;"Explica de manera clara los temas propuestos en la asignatura";"La asignatura requiere más horas de estudio que el número de créditos no otorga";0;235;26;8;1;0;594;1;0;1;"PLANTA";"16/2/2001 0:00:00";"ASOCIADO";"EXCLUSIVA";"ESTADISTICA"
298;4;0,03;0,08;47;1,07;1,16;"3,562";116;1,47;1,63;0,41;0,47;4;4;4;4;3;4;4;2;4;4;1;4;4;4;4;4;3;3;4;4;2;2;4;4;;;0;238;26;9;1;0;594;1;0;1;"PLANTA";"16/2/2001 0:00:00";"ASOCIADO";"EXCLUSIVA";"ESTADISTICA"
299;3;-0,24;-0,51;47;1,07;1,16;"3,562";116;1,47;1,63;0,22;-0,25;4;4;4;4;4;4;4;3;4;4;1;2;4;4;4;4;4;4;4;4;2;1;4;4;"Tiene total manejo del tema";"Ninguna";0;241;26;10;1;0;594;1;0;1;"PLANTA";"16/2/2001 0:00:00";"ASOCIADO";"EXCLUSIVA";"ESTADISTICA"
300;4;-1,52;-1,42;47;1,07;1,16;"3,562";116;1,47;1,63;-1,18;-1,04;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;2;2;4;4;"Excelente profesor. Es muy importante la ética para el.";;0;246;26;11;1;0;594;1;0;1;"PLANTA";"16/2/2001 0:00:00";"ASOCIADO";"EXCLUSIVA";"ESTADISTICA"
301;4;-0,25;-0,20;47;1,07;1,16;"3,562";116;1,47;1,63;-1,21;-1,04;4;4;4;4;4;4;4;4;4;4;1;2;4;4;4;4;4;3;3;3;2;2;4;4;;;0;248;26;12;1;0;594;1;0;1;"PLANTA";"16/2/2001 0:00:00";"ASOCIADO";"EXCLUSIVA";"ESTADISTICA"
302;4;1,68;1,72;47;1,07;1,16;"3,562";116;1,47;1,63;2,63;2,63;4;4;4;4;4;4;3;3;3;3;1;1;3;3;1;2;3;3;3;3;2;2;4;3;;;1;1320;26;7;1;0;594;1;0;1;"PLANTA";"16/2/2001 0:00:00";"ASOCIADO";"EXCLUSIVA";"ESTADISTICA"
303;4;-0,05;1,0e-03;47;1,07;1,16;"3,562";116;1,47;1,63;-1,20;-1,01;4;3;4;4;4;4;4;4;4;4;2;3;4;4;4;4;4;3;4;4;2;2;4;4;"Experiencia, Dominio del tema, Material de la clase";"Ninguna";1;1328;26;8;1;0;594;1;0;1;"PLANTA";"16/2/2001 0:00:00";"ASOCIADO";"EXCLUSIVA";"ESTADISTICA"
304;4;-0,38;-0,30;47;1,07;1,16;"3,562";116;1,47;1,63;-1,20;-1,05;4;4;4;4;4;4;4;4;4;4;1;3;4;4;4;4;4;3;3;4;2;2;4;4;;;1;1328;26;8;1;0;594;1;0;1;"PLANTA";"16/2/2001 0:00:00";"ASOCIADO";"EXCLUSIVA";"ESTADISTICA"
