"Student";"SelfPerf";"stud_diff_prof_no_perf";"stud_diff_prof_perf";"Professor";"prof_no_perf";"prof_perf";"harmonic_mean";"Subject";"sub_no_perf";"sub_perf";"stud_diff_subj_no_perf";"stud_diff_subj_perf";"C_12";"C_13";"C_14";"C_15";"C_16";"C_17";"C_18";"C_19";"C_20";"C_21";"C_22";"C_23";"C_24";"C_25";"C_26";"C_27";"C_28";"C_29";"C_30";"C_31";"C_32";"C_33";"C_34";"C_35";"C_36_Strength";"c37_Weaknesses";"student_sex";"Id_Fingerprint";"Id_Carrer";"Number_Enrollment";"Number_Repetition";"Number_Lost";"Id_Course";"Group";"Shared";"professor_sex";"Vinculacion";"Fecha_Ingreso";"professor_cat";"professor_dedic";"Professor_Dept"
12;3;0,28;0,01;43;-0,41;-0,24;"3,267";5;-1,74;-1,51;1,19;0,63;4;4;4;4;3;3;1;3;3;2;3;1;2;4;4;3;4;4;4;2;2;2;3;2;"UN CONOCIMIENTO MUY AMPLIO Y CON MUCHA EXPERIENCIA QUE PERMITE APLICAR A TODO TIPO DE MODELO DE TODOS LOS ESTUDIANTES";"A VECES LOS OBJETIVOS DE LA CLASE NO SON CLAROS, POR LO TANTO NO SE SABE LO QUE SE APRENDIO";1;1128;5;9;1;0;34;1;0;1;"PLANTA";"25/8/1975 0:00:00";"ASOCIADO";"EXCLUSIVA";"BIOLOGIA"
13;5;-0,48;0,27;43;-0,41;-0,24;"3,267";5;-1,74;-1,51;-2,98;-1,79;4;3;3;4;3;2;4;4;4;4;3;4;3;4;4;4;4;3;4;4;2;2;4;4;"PROMUEVE LA INVESTIGACION AUTONOMA";"NO APLICA PARA EL";1;1136;5;10;1;0;34;1;0;1;"PLANTA";"25/8/1975 0:00:00";"ASOCIADO";"EXCLUSIVA";"BIOLOGIA"
14;4;-0,11;-0,05;15;0,45;0,55;"3,526";11;0,02;0,15;0,13;0,20;4;3;4;4;4;4;3;4;3;3;1;4;4;4;4;4;4;3;3;4;2;2;3;4;"VARIEDAD DE LOS TEMAS, CONTENIDO Y CONOCIMIENTOS DEL PROFESOR. USO Y COMPRENSION DE ARTICULOS CIENTIFICOS";"PREPARACION ALGUNAS ACTIVIDADES EN CLAS";0;70;5;7;1;0;65;1;0;0;"PLANTA";"21/1/2005 0:00:00";"ASOCIADO";"EXCLUSIVA";"BIOLOGIA"
15;3;-0,25;-0,56;15;0,45;0,55;"3,526";11;0,02;0,15;0,16;-0,42;4;4;4;4;4;4;3;3;4;4;4;4;3;3;4;4;4;1;1;3;2;2;3;3;"ES MUY CLARA EN LA EXPOSICION DE LOS TEMAS";"X";0;74;5;8;1;0;65;1;0;0;"PLANTA";"21/1/2005 0:00:00";"ASOCIADO";"EXCLUSIVA";"BIOLOGIA"
16;4;-1,34;-1,22;15;0,45;0,55;"3,526";11;0,02;0,15;-1,91;-1,72;4;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;2;1;2;2;4;4;"PUNTUALIDAD. MANEJA LA INFORMACION DE FORMA EFICIENTE Y ENTENDIBLE";;0;75;5;8;1;0;65;1;0;0;"PLANTA";"21/1/2005 0:00:00";"ASOCIADO";"EXCLUSIVA";"BIOLOGIA"
17;4;0,01;0,07;15;0,45;0,55;"3,526";11;0,02;0,15;-1,93;-1,74;4;4;4;3;4;4;3;4;4;4;2;3;3;4;4;4;4;3;3;3;2;1;4;4;"ES AMABLE CON LOS ESTUDIANTES Y SE HACE ENTENDER EN LA MAYORIA DE LOS CASOS";"UN SALON MEJOR ADAPTADO PARA EL VIDEO BEAM";1;1115;5;7;1;0;65;1;0;0;"PLANTA";"21/1/2005 0:00:00";"ASOCIADO";"EXCLUSIVA";"BIOLOGIA"
18;4;-0,63;-0,55;15;0,45;0,55;"3,526";11;0,02;0,15;0,10;0,18;4;3;4;4;4;4;4;3;4;3;3;4;4;3;4;4;4;3;3;3;2;1;4;4;"ES UNA DOCENTE MUY COMPROMETIDA, RESPETUOS Y CON DOMINIO DEL TEMA";;1;1124;5;8;1;0;65;1;0;0;"PLANTA";"21/1/2005 0:00:00";"ASOCIADO";"EXCLUSIVA";"BIOLOGIA"
19;4;-0,45;-0,37;15;0,45;0,55;"3,526";11;0,02;0,15;-0,72;-0,63;4;4;4;4;4;4;3;4;4;4;1;4;3;4;4;4;4;3;3;4;2;2;4;3;;;1;1124;5;8;1;0;65;1;0;0;"PLANTA";"21/1/2005 0:00:00";"ASOCIADO";"EXCLUSIVA";"BIOLOGIA"
20;3;0,85;0,52;15;0,45;0,55;"3,526";11;0,02;0,15;1,86;1,21;4;4;4;3;4;4;2;4;2;2;1;3;3;4;3;3;4;4;4;4;2;2;3;3;"MUCHO CONOCIMIENTO DEL TEMA";"DEBERIA INDUCIR MAS LA PARTICIPACION EN CLASE";1;1128;5;9;1;0;65;1;0;0;"PLANTA";"21/1/2005 0:00:00";"ASOCIADO";"EXCLUSIVA";"BIOLOGIA"
21;4;0,18;0,24;15;0,45;0,55;"3,526";11;0,02;0,15;0,81;0,86;4;4;4;2;4;4;3;3;4;3;3;3;3;4;4;4;3;2;1;2;2;2;4;3;;;1;1129;5;9;1;0;65;1;0;0;"PLANTA";"21/1/2005 0:00:00";"ASOCIADO";"EXCLUSIVA";"BIOLOGIA"
