"Student";"Subject";"Y_sub";"SelfPerf_su";"Item"
317;7;4;5;1
318;15;4;3;1
319;15;4;3;1
320;15;4;4;1
321;15;4;4;1
322;15;4;4;1
323;15;4;5;1
324;15;4;4;1
325;15;4;4;1
326;15;3;3;1
327;15;4;4;1
328;15;4;3;1
329;15;4;3;1
330;15;4;4;1
331;15;4;4;1
332;15;4;4;1
333;15;4;4;1
334;15;4;4;1
335;15;4;4;1
336;15;3;3;1
337;15;4;4;1
338;17;3;4;1
339;17;4;4;1
340;17;3;3;1
341;17;4;4;1
342;17;4;4;1
343;17;4;5;1
344;17;3;3;1
345;17;4;5;1
346;17;4;4;1
347;17;3;4;1
348;17;4;4;1
349;17;4;5;1
350;17;4;4;1
351;17;4;5;1
352;17;3;4;1
353;17;4;5;1
354;17;3;3;1
355;17;4;4;1
356;18;4;4;1
357;18;4;4;1
358;18;4;4;1
359;18;4;4;1
360;18;4;4;1
361;18;4;5;1
362;18;2;4;1
363;18;3;5;1
364;18;3;5;1
365;18;4;4;1
366;18;4;4;1
367;18;4;4;1
368;18;4;4;1
369;18;4;5;1
370;18;4;5;1
371;18;2;4;1
372;18;3;5;1
373;18;3;5;1
374;19;4;4;1
375;19;4;3;1
376;19;4;4;1
377;19;4;4;1
378;19;4;4;1
379;19;4;5;1
380;19;4;4;1
381;19;4;4;1
382;19;4;3;1
383;19;4;4;1
384;19;4;4;1
385;19;4;4;1
386;19;4;5;1
387;19;4;4;1
388;84;3;4;1
389;84;4;4;1
390;84;4;4;1
391;84;4;5;1
392;84;4;4;1
393;84;4;4;1
394;99;3;4;1
395;99;4;4;1
396;99;4;4;1
397;99;1;4;1
398;99;2;3;1
399;99;3;4;1
400;99;3;4;1
401;99;2;5;1
402;99;3;5;1
403;99;4;5;1
404;99;2;3;1
405;99;3;4;1
406;99;3;4;1
407;99;2;5;1
408;99;3;5;1
409;99;4;5;1
410;99;3;4;1
411;99;4;4;1
412;99;4;4;1
413;99;1;4;1
414;119;4;3;1
415;119;4;4;1
416;119;4;4;1
417;119;4;4;1
418;119;4;4;1
419;119;4;4;1
420;119;4;3;1
421;119;4;4;1
422;119;4;4;1
423;119;4;4;1
424;119;4;4;1
425;119;4;4;1
426;121;4;3;1
427;121;4;4;1
428;121;4;5;1
429;121;2;4;1
430;121;3;4;1
431;121;4;4;1
432;121;4;4;1
433;121;4;4;1
434;121;4;4;1
435;121;4;4;1
436;121;3;4;1
437;121;4;4;1
438;121;4;3;1
439;121;2;4;1
440;121;4;4;1
441;121;4;4;1
442;121;4;4;1
443;121;4;4;1
444;21;4;3;1
445;21;3;3;1
446;21;4;3;1
447;21;4;3;1
448;21;4;4;1
449;21;2;3;1
450;21;3;4;1
451;22;4;3;1
452;22;4;3;1
453;22;4;3;1
454;22;4;4;1
455;22;4;3;1
456;22;4;3;1
457;22;4;4;1
458;22;4;4;1
459;22;3;4;1
460;22;4;3;1
461;22;4;4;1
462;22;4;4;1
463;22;4;4;1
464;22;3;2;1
465;22;4;2;1
466;23;4;4;1
467;23;4;5;1
468;23;4;4;1
469;23;3;3;1
470;23;3;4;1
471;23;3;4;1
472;23;4;5;1
473;24;4;3;1
474;24;3;4;1
475;24;3;4;1
476;24;4;5;1
477;24;4;4;1
478;24;4;4;1
479;24;4;3;1
480;24;3;4;1
481;24;4;4;1
482;24;3;4;1
483;24;4;4;1
484;24;3;2;1
485;24;3;4;1
486;24;2;3;1
487;24;2;3;1
488;24;4;3;1
489;24;3;4;1
490;24;4;4;1
491;31;4;4;1
492;31;4;5;1
493;31;4;4;1
494;31;3;4;1
495;31;4;4;1
496;31;4;4;1
497;31;4;5;1
498;36;3;3;1
499;36;2;3;1
500;36;4;3;1
501;36;4;3;1
502;36;4;3;1
503;36;4;4;1
504;36;4;4;1
505;44;4;5;1
506;44;2;4;1
507;44;4;4;1
508;44;4;4;1
509;44;4;5;1
510;44;4;3;1
511;44;3;4;1
512;44;4;4;1
513;44;4;4;1
514;44;4;4;1
515;44;4;4;1
516;44;4;3;1
517;44;4;4;1
518;49;2;4;1
519;49;4;4;1
520;49;3;4;1
521;49;3;4;1
522;49;3;4;1
523;49;3;4;1
524;49;2;1;1
525;49;3;4;1
526;49;3;4;1
527;49;3;4;1
528;49;3;4;1
529;49;4;4;1
530;49;2;4;1
531;49;3;4;1
532;49;3;4;1
533;49;3;4;1
534;49;2;1;1
535;49;3;4;1
536;49;3;4;1
537;49;3;4;1
538;60;3;4;1
539;60;3;4;1
540;60;2;5;1
541;60;4;3;1
542;60;2;4;1
543;60;4;4;1
544;60;4;4;1
545;60;3;3;1
546;61;3;3;1
547;61;4;4;1
548;61;3;4;1
549;61;4;4;1
550;61;4;5;1
551;61;3;3;1
552;61;4;4;1
553;62;3;4;1
554;62;4;5;1
555;62;2;3;1
556;62;2;3;1
557;62;2;4;1
558;62;4;4;1
559;62;4;5;1
560;62;3;5;1
561;62;2;3;1
562;62;3;3;1
563;62;4;4;1
564;62;4;5;1
565;62;4;5;1
566;62;4;5;1
567;62;4;5;1
568;63;4;3;1
569;63;4;4;1
570;63;4;3;1
571;63;3;3;1
572;63;4;3;1
573;63;4;4;1
574;63;4;5;1
575;63;3;5;1
576;64;4;4;1
577;64;3;3;1
578;64;4;5;1
579;64;3;3;1
580;64;3;3;1
581;64;4;4;1
582;64;4;3;1
583;64;4;4;1
584;64;4;4;1
586;64;4;4;1
587;64;4;5;1
588;64;4;3;1
589;64;4;3;1
590;64;4;4;1
591;64;4;3;1
592;64;3;4;1
593;65;4;4;1
594;65;3;4;1
595;65;4;3;1
596;65;4;4;1
597;65;4;5;1
598;65;2;3;1
599;65;2;4;1
600;66;4;5;1
601;66;3;4;1
602;66;4;3;1
603;66;4;5;1
604;66;4;5;1
605;66;3;3;1
606;66;4;4;1
607;66;3;4;1
608;67;2;4;1
609;67;3;5;1
610;67;3;5;1
611;67;3;5;1
612;67;4;5;1
613;67;3;3;1
614;67;4;4;1
615;67;4;4;1
616;67;4;4;1
617;67;3;4;1
618;67;4;4;1
619;68;4;4;1
620;68;4;4;1
621;68;4;4;1
622;68;1;4;1
623;68;4;5;1
624;68;4;5;1
625;68;3;4;1
626;68;4;4;1
627;68;4;4;1
628;68;3;4;1
629;68;4;4;1
630;68;4;4;1
631;68;3;4;1
632;68;4;4;1
633;69;4;4;1
634;69;4;4;1
635;69;4;4;1
636;69;3;4;1
637;69;2;4;1
638;69;3;4;1
639;69;4;5;1
640;69;4;4;1
641;69;4;2;1
642;69;3;3;1
643;69;3;4;1
644;69;4;4;1
645;69;4;4;1
646;69;4;4;1
647;69;4;4;1
648;89;4;4;1
649;89;4;4;1
650;89;3;4;1
651;89;4;5;1
652;89;4;5;1
653;89;4;5;1
654;89;4;4;1
655;94;4;4;1
656;94;2;4;1
657;94;3;4;1
658;94;3;4;1
659;94;4;5;1
660;94;1;4;1
661;106;4;5;1
662;106;3;5;1
663;106;4;5;1
664;106;3;5;1
665;106;4;5;1
666;106;4;3;1
667;117;3;5;1
668;117;4;4;1
669;117;4;4;1
670;117;3;4;1
671;117;4;4;1
672;118;4;4;1
673;118;4;5;1
674;118;4;4;1
675;118;4;3;1
676;118;4;4;1
677;118;4;4;1
678;118;4;4;1
679;118;4;5;1
680;118;3;3;1
681;118;4;4;1
682;118;4;5;1
683;118;3;5;1
684;20;3;4;1
685;20;3;5;1
686;20;3;4;1
687;20;3;3;1
688;20;2;4;1
689;20;2;4;1
690;20;2;4;1
691;20;2;4;1
692;20;3;4;1
693;20;3;4;1
694;28;4;4;1
695;28;3;4;1
696;28;4;5;1
697;28;2;5;1
698;28;4;5;1
699;28;3;4;1
700;28;2;5;1
701;30;3;4;1
702;30;3;3;1
703;30;4;4;1
704;30;3;2;1
705;30;3;3;1
706;30;4;3;1
707;30;3;4;1
708;30;3;4;1
709;30;3;2;1
710;30;4;2;1
711;30;3;4;1
712;38;4;4;1
713;38;3;4;1
714;38;2;5;1
715;38;3;5;1
716;38;4;5;1
717;38;4;4;1
718;39;2;4;1
719;39;4;5;1
720;39;3;4;1
721;39;2;4;1
722;39;2;4;1
723;40;4;4;1
724;40;4;4;1
725;40;3;4;1
726;40;4;4;1
727;40;3;4;1
728;40;3;4;1
729;40;2;2;1
730;40;2;3;1
731;40;4;4;1
732;40;3;4;1
733;40;3;4;1
734;40;3;4;1
735;40;3;3;1
736;40;4;3;1
737;40;4;4;1
738;40;4;3;1
739;41;3;4;1
740;41;3;4;1
741;41;4;4;1
742;41;3;4;1
743;41;4;4;1
744;41;4;4;1
745;42;4;4;1
746;42;3;4;1
747;42;4;4;1
748;42;4;5;1
749;42;4;4;1
750;42;4;3;1
751;42;3;4;1
752;42;4;4;1
753;42;4;4;1
754;45;3;5;1
755;45;2;3;1
756;45;4;5;1
757;45;4;5;1
758;50;4;4;1
759;50;3;4;1
760;50;2;4;1
761;50;4;5;1
762;50;4;4;1
763;50;3;4;1
764;50;2;4;1
765;50;3;4;1
766;50;3;4;1
767;57;4;4;1
768;57;4;4;1
769;57;4;5;1
770;57;2;4;1
771;57;4;4;1
772;70;4;4;1
773;70;4;4;1
774;70;3;5;1
775;70;3;5;1
776;70;3;4;1
777;70;3;4;1
778;70;3;5;1
779;70;4;4;1
780;70;4;4;1
781;70;3;5;1
782;70;3;5;1
783;70;3;4;1
784;70;3;4;1
785;70;3;5;1
786;74;3;4;1
787;74;3;4;1
788;74;4;4;1
789;74;4;4;1
790;74;4;3;1
791;74;3;3;1
792;74;3;4;1
793;74;4;4;1
794;74;3;4;1
795;74;4;4;1
796;74;4;2;1
797;74;4;4;1
798;74;4;4;1
799;74;4;3;1
800;74;4;4;1
801;74;4;4;1
802;74;4;4;1
803;77;3;4;1
804;77;4;4;1
805;77;3;4;1
806;77;3;5;1
807;77;2;4;1
808;78;4;3;1
809;78;4;4;1
810;78;4;5;1
811;78;4;4;1
812;78;4;4;1
813;78;4;4;1
814;78;4;4;1
815;78;4;4;1
816;78;4;4;1
817;78;4;5;1
818;78;4;5;1
819;78;4;4;1
820;78;4;4;1
821;78;4;4;1
822;78;4;4;1
823;78;4;4;1
824;78;4;4;1
825;78;4;4;1
826;85;3;4;1
827;85;3;4;1
828;85;2;4;1
829;85;4;3;1
830;85;4;3;1
831;85;3;4;1
832;85;1;4;1
833;85;3;4;1
834;85;3;4;1
835;85;3;4;1
836;85;3;4;1
837;85;3;4;1
838;86;3;4;1
839;86;4;4;1
840;86;4;4;1
841;86;3;5;1
842;86;3;4;1
843;86;3;4;1
844;87;4;4;1
845;87;3;4;1
846;87;4;4;1
847;87;3;4;1
848;87;3;4;1
849;87;4;4;1
850;87;4;4;1
851;87;4;3;1
852;87;4;5;1
853;87;3;4;1
854;101;4;4;1
855;101;4;5;1
856;101;4;4;1
857;101;4;4;1
858;101;4;4;1
859;101;4;5;1
860;101;4;5;1
861;101;4;4;1
862;101;3;4;1
863;101;4;5;1
864;101;4;5;1
865;101;4;5;1
866;101;4;4;1
867;101;4;5;1
868;123;4;4;1
869;123;3;4;1
870;123;4;4;1
871;123;4;4;1
872;123;4;5;1
873;123;4;5;1
874;123;4;4;1
875;123;4;4;1
